parameters | time (second),Apical_voltage | v_mc (volt),Basol_voltage | v_sc (volt),Cell_concentration | Cl_i (M),Cell_concentration | glucose_i (M),Cell_concentration | J_w_A (umol_per_s),Cell_concentration | J_w_B (umol_per_s),Cell_concentration | K_i (M),Cell_concentration | Na_i (M),Cell_concentration | pH_int (per_second),Cell_concentration | v_cell (m3)
9354,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9355,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9356,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9357,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9358,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9359,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9360,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9361,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9362,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9363,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9364,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9365,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9366,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9367,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9368,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9369,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9370,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9371,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9372,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9373,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9374,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9375,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9376,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9377,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9378,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9379,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9380,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9381,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9382,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9383,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9384,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9385,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9386,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9387,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9388,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9389,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9390,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9391,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9392,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9393,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9394,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9395,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9396,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9397,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9398,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9399,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9400,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9401,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9402,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9403,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9404,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9405,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9406,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9407,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9408,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9409,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9410,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9411,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9412,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9413,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9414,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9415,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9416,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9417,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9418,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9419,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9420,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9421,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9422,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9423,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9424,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9425,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9426,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9427,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9428,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9429,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9430,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9431,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9432,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9433,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9434,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9435,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9436,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9437,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9438,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9439,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9440,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9441,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9442,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9443,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9444,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9445,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9446,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9447,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9448,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9449,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9450,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9451,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9452,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9453,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9454,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9455,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9456,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9457,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9458,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9459,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9460,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9461,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9462,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9463,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9464,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9465,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9466,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9467,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9468,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9469,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9470,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9471,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9472,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9473,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9474,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9475,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9476,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9477,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9478,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9479,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9480,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9481,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9482,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9483,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9484,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9485,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9486,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9487,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9488,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9489,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9490,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9491,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9492,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9493,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9494,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9495,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9496,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9497,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9498,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9499,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9500,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9501,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9502,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9503,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9504,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9505,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9506,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9507,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9508,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9509,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9510,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9511,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9512,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9513,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9514,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9515,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9516,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9517,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9518,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9519,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9520,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9521,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9522,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9523,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9524,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9525,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9526,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9527,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9528,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9529,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9530,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9531,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9532,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9533,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9534,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9535,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9536,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9537,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9538,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9539,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9540,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9541,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9542,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9543,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9544,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9545,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9546,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9547,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9548,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9549,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9550,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9551,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9552,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9553,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9554,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9555,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
9556,-0.0334639,-0.0465176,0.0565975,0.000155265,-1.02E-07,-1.02E-07,0.111125,0.0459095,7.18742,1.85E-15
