time,v_c(0),v_c(10),v_c(20),v_c(50),v_c(100),v_c(200),G_i(0),G_i(10),G_i(20),G_i(50),G_i(100),G_i(200),J_w(0),J_w(10),J_w(20),J_w(50),J_w(100),J_w(200),v_c(0)-A,v_c(10)-A,v_c(20)-A,v_c(50)-A,v_c(100)-A,v_c(200)-A,G_i(0)-A,G_i(10)-A,G_i(20)-A,G_i(50)-A,G_i(100)-A,G_i(200)-A,J_w(0)-A,J_w(10)-A,J_w(20)-A,J_w(50)-A,J_w(100)-A,J_w(200)-A,OS_C(0),OS_C(10),OS_C(20),OS_C(50),OS_C(100),OS_C(200),OS_C-A(0),OS_C-A(10),OS_C-A(20),OS_C-A(50),OS_C-A(100),OS_C-A(200),v_c(5),G_i(5),J_w(5),OS_C(5),v_c(5)-A,G_i(5)-A,J_w(5)-A,OS_C-A(5),v_c(80),G_i(80),J_w(80),v_c(80)-A,G_i(80)-A,J_w(80)-A,Na_i(20),Cl_i(20),Na_i(50),Cl_i(50),Na_i(80),Cl_i(80),Na_i(100),Cl_i(100),Na_i(20)-A,Cl_i(20)-A,Na_i(50)-A,Cl_i(50)-A,Na_i(80)-A,Cl_i(80)-A,Na_i(100)-A,Cl_i(100)-A
3000,2.36E-15,1.79E-15,1.96E-15,1.91E-15,1.72E-15,9.61E-16,0.724163,10.303,18.1271,34.2826,48.5915,50.2564,-3.59E-06,6.50E-08,6.63E-08,1.56E-07,2.80E-07,3.38E-07,2.45E-15,1.79E-15,1.92E-15,1.76E-15,1.54E-15,8.82E-16,5.48501,11.1101,13.3433,15.417,16.4344,18.7846,-3.61E-06,6.42E-08,6.63E-08,1.56E-07,2.80E-07,3.45E-07,337.691,346.448,356.181,383.236,428.048,518.332,337.75,346.503,356.009,382.594,427.31,517.808,1.75E-15,5.7842,6.44E-08,342.488,1.78E-15,9.73618,6.29E-08,342.597,1.80E-15,44.0278,2.34E-07,1.62E-15,16.1523,2.34E-07,55.1356,74.1957,51.8934,74.35,47.1791,75.2698,43.9322,76.2403,54.1924,74.7777,48.1255,76.8303,42.3264,79.3919,38.969,81.308
3100,2.36E-15,1.79E-15,1.96E-15,1.91E-15,1.72E-15,9.57E-16,0.724162,10.3027,18.1271,34.2829,48.6101,50.7276,-3.59E-06,6.51E-08,6.63E-08,1.56E-07,2.80E-07,3.37E-07,2.45E-15,1.79E-15,1.92E-15,1.76E-15,1.54E-15,8.77E-16,5.46961,11.1218,13.3434,15.4176,16.435,18.788,-3.61E-06,6.43E-08,6.63E-08,1.56E-07,2.80E-07,3.44E-07,337.702,346.444,356.179,383.241,428.074,518.395,337.765,346.498,356.012,382.611,427.351,517.889,1.75E-15,5.78409,6.44E-08,342.489,1.78E-15,9.72684,6.29E-08,342.597,1.80E-15,44.0371,2.34E-07,1.62E-15,16.1529,2.34E-07,55.1352,74.1958,51.893,74.3493,47.1826,75.2669,43.9383,76.2359,54.1921,74.7776,48.1256,76.83,42.3266,79.3916,38.9691,81.3079
3200,2.36E-15,1.79E-15,1.96E-15,1.90E-15,1.72E-15,9.53E-16,0.72416,10.3025,18.1271,34.283,48.6259,51.1778,-3.59E-06,6.51E-08,6.63E-08,1.56E-07,2.80E-07,3.36E-07,2.45E-15,1.79E-15,1.92E-15,1.76E-15,1.54E-15,8.72E-16,5.45541,11.1331,13.3434,15.4181,16.4356,18.7869,-3.61E-06,6.44E-08,6.63E-08,1.56E-07,2.80E-07,3.43E-07,337.713,346.44,356.176,383.245,428.1,518.455,337.778,346.493,356.015,382.628,427.391,517.967,1.75E-15,5.78398,6.44E-08,342.491,1.78E-15,9.7179,6.29E-08,342.597,1.80E-15,44.0448,2.34E-07,1.62E-15,16.1535,2.34E-07,55.135,74.196,51.8925,74.3488,47.1854,75.2646,43.9434,76.2321,54.192,74.7776,48.1256,76.8297,42.3267,79.3914,38.9693,81.3078
3300,2.36E-15,1.79E-15,1.96E-15,1.90E-15,1.72E-15,9.50E-16,0.724159,10.3024,18.1271,34.283,48.6392,51.6078,-3.59E-06,6.52E-08,6.63E-08,1.56E-07,2.80E-07,3.35E-07,2.44E-15,1.79E-15,1.92E-15,1.76E-15,1.54E-15,8.67E-16,5.44232,11.144,13.3434,15.4185,16.436,18.7817,-3.61E-06,6.44E-08,6.63E-08,1.56E-07,2.80E-07,3.42E-07,337.722,346.435,356.174,383.249,428.123,518.512,337.791,346.488,356.018,382.644,427.429,518.043,1.75E-15,5.78389,6.44E-08,342.492,1.78E-15,9.70934,6.29E-08,342.597,1.80E-15,44.0512,2.34E-07,1.62E-15,16.1539,2.34E-07,55.1349,74.1962,51.8922,74.3484,47.1876,75.2627,43.9476,76.229,54.1919,74.7776,48.1255,76.8295,42.3267,79.3912,38.9693,81.3077
3400,2.35E-15,1.79E-15,1.96E-15,1.90E-15,1.72E-15,9.47E-16,0.724159,10.3023,18.1271,34.2831,48.6504,52.0185,-3.59E-06,6.52E-08,6.63E-08,1.56E-07,2.80E-07,3.35E-07,2.44E-15,1.80E-15,1.92E-15,1.76E-15,1.54E-15,8.62E-16,5.43026,11.1544,13.3435,15.4188,16.4363,18.7726,-3.61E-06,6.45E-08,6.63E-08,1.56E-07,2.80E-07,3.41E-07,337.731,346.431,356.172,383.253,428.146,518.567,337.802,346.483,356.021,382.66,427.467,518.116,1.75E-15,5.7838,6.43E-08,342.494,1.78E-15,9.70114,6.29E-08,342.597,1.80E-15,44.0563,2.34E-07,1.62E-15,16.1542,2.34E-07,55.1349,74.1963,51.892,74.3481,47.1895,75.2611,43.9511,76.2263,54.1918,74.7776,48.1255,76.8294,42.3267,79.3911,38.9694,81.3076
3500,2.35E-15,1.79E-15,1.96E-15,1.90E-15,1.72E-15,9.43E-16,0.724158,10.3022,18.1271,34.283,48.6598,52.4106,-3.59E-06,6.53E-08,6.63E-08,1.56E-07,2.80E-07,3.34E-07,2.44E-15,1.80E-15,1.92E-15,1.76E-15,1.54E-15,8.58E-16,5.41914,11.1645,13.3435,15.419,16.4366,18.7598,-3.61E-06,6.46E-08,6.63E-08,1.56E-07,2.80E-07,3.40E-07,337.74,346.427,356.17,383.257,428.168,518.619,337.813,346.479,356.023,382.675,427.503,518.186,1.75E-15,5.78372,6.43E-08,342.495,1.78E-15,9.6933,6.29E-08,342.597,1.80E-15,44.0606,2.34E-07,1.62E-15,16.1544,2.34E-07,55.1349,74.1964,51.8917,74.3479,47.191,75.2598,43.9542,76.224,54.1918,74.7776,48.1254,76.8293,42.3267,79.391,38.9694,81.3075
3600,2.35E-15,1.79E-15,1.96E-15,1.90E-15,1.72E-15,9.40E-16,0.724157,10.3021,18.1271,34.283,48.6678,52.7849,-3.59E-06,6.54E-08,6.63E-08,1.56E-07,2.80E-07,3.33E-07,2.44E-15,1.80E-15,1.92E-15,1.76E-15,1.54E-15,8.54E-16,5.40891,11.1742,13.3435,15.4191,16.4368,18.7436,-3.61E-06,6.46E-08,6.63E-08,1.56E-07,2.80E-07,3.39E-07,337.748,346.423,356.169,383.261,428.189,518.67,337.823,346.474,356.025,382.69,427.538,518.254,1.75E-15,5.78364,6.43E-08,342.496,1.78E-15,9.68579,6.29E-08,342.597,1.80E-15,44.0641,2.34E-07,1.62E-15,16.1546,2.34E-07,55.135,74.1965,51.8916,74.3478,47.1922,75.2587,43.9569,76.2221,54.1918,74.7776,48.1254,76.8292,42.3267,79.391,38.9695,81.3075
3700,2.35E-15,1.79E-15,1.96E-15,1.90E-15,1.72E-15,9.37E-16,0.724156,10.3021,18.1271,34.283,48.6745,53.1422,-3.59E-06,6.54E-08,6.63E-08,1.56E-07,2.80E-07,3.32E-07,2.44E-15,1.80E-15,1.92E-15,1.76E-15,1.54E-15,8.50E-16,5.39948,11.1835,13.3435,15.4192,16.4369,18.7243,-3.61E-06,6.47E-08,6.63E-08,1.56E-07,2.80E-07,3.38E-07,337.755,346.42,356.167,383.264,428.21,518.717,337.832,346.47,356.028,382.704,427.572,518.319,1.75E-15,5.78357,6.43E-08,342.497,1.78E-15,9.6786,6.29E-08,342.597,1.80E-15,44.0669,2.34E-07,1.62E-15,16.1548,2.34E-07,55.135,74.1966,51.8914,74.3477,47.1932,75.2578,43.959,76.2205,54.1918,74.7776,48.1253,76.8292,42.3268,79.3909,38.9695,81.3075
3800,2.35E-15,1.79E-15,1.96E-15,1.90E-15,1.72E-15,9.35E-16,0.724156,10.3021,18.1271,34.283,48.6802,53.4831,-3.59E-06,6.55E-08,6.63E-08,1.56E-07,2.80E-07,3.32E-07,2.44E-15,1.80E-15,1.92E-15,1.76E-15,1.54E-15,8.46E-16,5.3908,11.1925,13.3435,15.4193,16.437,18.702,-3.61E-06,6.48E-08,6.63E-08,1.56E-07,2.80E-07,3.37E-07,337.762,346.416,356.165,383.267,428.229,518.763,337.84,346.465,356.03,382.718,427.604,518.382,1.75E-15,5.7835,6.43E-08,342.498,1.78E-15,9.67173,6.29E-08,342.596,1.80E-15,44.0693,2.34E-07,1.62E-15,16.1549,2.34E-07,55.1351,74.1967,51.8913,74.3476,47.194,75.2571,43.9608,76.2191,54.1918,74.7776,48.1254,76.8292,42.3268,79.3909,38.9695,81.3074
3900,2.35E-15,1.79E-15,1.96E-15,1.90E-15,1.72E-15,9.32E-16,0.724155,10.3021,18.1271,34.2829,48.6851,53.8083,-3.59E-06,6.55E-08,6.63E-08,1.56E-07,2.80E-07,3.31E-07,2.44E-15,1.80E-15,1.92E-15,1.76E-15,1.54E-15,8.42E-16,5.3828,11.2012,13.3435,15.4194,16.4371,18.6769,-3.61E-06,6.48E-08,6.63E-08,1.56E-07,2.80E-07,3.36E-07,337.768,346.412,356.164,383.27,428.247,518.807,337.847,346.461,356.032,382.731,427.636,518.443,1.75E-15,5.78343,6.43E-08,342.499,1.78E-15,9.66515,6.29E-08,342.596,1.80E-15,44.0712,2.34E-07,1.62E-15,16.155,2.34E-07,55.1351,74.1967,51.8912,74.3476,47.1947,75.2565,43.9623,76.218,54.1918,74.7777,48.1254,76.8292,42.3268,79.3908,38.9695,81.3074
4000,2.35E-15,1.79E-15,1.96E-15,1.90E-15,1.72E-15,9.29E-16,0.724155,10.3022,18.1271,34.2829,48.6891,54.1184,-3.59E-06,6.56E-08,6.63E-08,1.56E-07,2.80E-07,3.31E-07,2.44E-15,1.80E-15,1.92E-15,1.76E-15,1.54E-15,8.38E-16,5.37544,11.2096,13.3435,15.4195,16.4372,18.6494,-3.61E-06,6.49E-08,6.63E-08,1.56E-07,2.80E-07,3.36E-07,337.774,346.408,356.162,383.273,428.265,518.849,337.854,346.457,356.033,382.744,427.667,518.501,1.75E-15,5.78337,6.43E-08,342.499,1.78E-15,9.65885,6.29E-08,342.595,1.80E-15,44.0728,2.34E-07,1.62E-15,16.155,2.34E-07,55.1351,74.1967,51.8911,74.3476,47.1953,75.256,43.9636,76.217,54.1918,74.7777,48.1255,76.8292,42.3268,79.3908,38.9695,81.3074
4100,2.34E-15,1.80E-15,1.96E-15,1.90E-15,1.72E-15,9.27E-16,0.724154,10.3022,18.1271,34.2828,48.6925,54.4141,-3.59E-06,6.56E-08,6.63E-08,1.56E-07,2.80E-07,3.30E-07,2.44E-15,1.80E-15,1.92E-15,1.76E-15,1.54E-15,8.35E-16,5.36867,11.2176,13.3435,15.4195,16.4372,18.6197,-3.61E-06,6.49E-08,6.63E-08,1.56E-07,2.80E-07,3.35E-07,337.78,346.405,356.161,383.275,428.282,518.889,337.86,346.453,356.035,382.756,427.697,518.557,1.75E-15,5.78331,6.43E-08,342.5,1.78E-15,9.65282,6.29E-08,342.595,1.80E-15,44.0741,2.34E-07,1.62E-15,16.1551,2.34E-07,55.1352,74.1968,51.891,74.3476,47.1957,75.2556,43.9647,76.2162,54.1918,74.7777,48.1255,76.8291,42.3268,79.3908,38.9695,81.3073
4200,2.34E-15,1.80E-15,1.96E-15,1.90E-15,1.72E-15,9.25E-16,0.724154,10.3022,18.1271,34.2828,48.6954,54.696,-3.59E-06,6.57E-08,6.63E-08,1.56E-07,2.80E-07,3.29E-07,2.44E-15,1.80E-15,1.92E-15,1.76E-15,1.54E-15,8.32E-16,5.36243,11.2254,13.3435,15.4196,16.4373,18.5878,-3.61E-06,6.50E-08,6.63E-08,1.56E-07,2.80E-07,3.34E-07,337.785,346.401,356.16,383.278,428.298,518.927,337.866,346.449,356.037,382.768,427.727,518.611,1.75E-15,5.78326,6.43E-08,342.5,1.78E-15,9.64706,6.29E-08,342.594,1.80E-15,44.0752,2.34E-07,1.62E-15,16.1551,2.34E-07,55.1353,74.1968,51.891,74.3476,47.1961,75.2553,43.9657,76.2155,54.1918,74.7777,48.1255,76.8291,42.3268,79.3907,38.9695,81.3073
4300,2.34E-15,1.80E-15,1.96E-15,1.90E-15,1.72E-15,9.22E-16,0.724153,10.3023,18.1271,34.2828,48.6978,54.9646,-3.59E-06,6.57E-08,6.63E-08,1.56E-07,2.80E-07,3.29E-07,2.44E-15,1.80E-15,1.92E-15,1.76E-15,1.54E-15,8.29E-16,5.35668,11.2329,13.3435,15.4196,16.4373,18.5542,-3.61E-06,6.51E-08,6.63E-08,1.56E-07,2.80E-07,3.33E-07,337.79,346.398,356.159,383.28,428.314,518.964,337.871,346.445,356.039,382.78,427.755,518.663,1.75E-15,5.7832,6.43E-08,342.501,1.78E-15,9.64155,6.29E-08,342.593,1.80E-15,44.0761,2.34E-07,1.62E-15,16.1552,2.34E-07,55.1353,74.1968,51.8909,74.3476,47.1964,75.255,43.9664,76.2149,54.1918,74.7777,48.1255,76.8291,42.3268,79.3907,38.9695,81.3073
4400,2.34E-15,1.80E-15,1.96E-15,1.90E-15,1.72E-15,9.20E-16,0.724153,10.3023,18.1271,34.2827,48.6999,55.2206,-3.59E-06,6.58E-08,6.63E-08,1.56E-07,2.80E-07,3.28E-07,2.44E-15,1.81E-15,1.92E-15,1.76E-15,1.54E-15,8.26E-16,5.35139,11.2401,13.3435,15.4196,16.4373,18.5188,-3.61E-06,6.51E-08,6.63E-08,1.56E-07,2.80E-07,3.33E-07,337.795,346.395,356.157,383.282,428.329,518.999,337.876,346.441,356.04,382.791,427.783,518.712,1.75E-15,5.78316,6.42E-08,342.501,1.78E-15,9.63627,6.29E-08,342.593,1.80E-15,44.0768,2.34E-07,1.62E-15,16.1552,2.34E-07,55.1354,74.1968,51.8909,74.3476,47.1966,75.2548,43.967,76.2144,54.1918,74.7777,48.1255,76.8291,42.3268,79.3907,38.9695,81.3073
4500,2.34E-15,1.80E-15,1.96E-15,1.90E-15,1.72E-15,9.18E-16,0.724152,10.3023,18.1271,34.2827,48.7016,55.4643,-3.59E-06,6.58E-08,6.63E-08,1.56E-07,2.80E-07,3.28E-07,2.43E-15,1.81E-15,1.92E-15,1.76E-15,1.54E-15,8.23E-16,5.34652,11.2471,13.3435,15.4196,16.4373,18.482,-3.61E-06,6.52E-08,6.63E-08,1.56E-07,2.80E-07,3.32E-07,337.799,346.391,356.156,383.284,428.343,519.032,337.881,346.437,356.041,382.803,427.809,518.76,1.75E-15,5.78311,6.42E-08,342.501,1.78E-15,9.63123,6.29E-08,342.592,1.80E-15,44.0773,2.34E-07,1.62E-15,16.1552,2.34E-07,55.1354,74.1968,51.8909,74.3476,47.1968,75.2546,43.9675,76.214,54.1918,74.7777,48.1254,76.8291,42.3268,79.3907,38.9695,81.3073
4600,2.34E-15,1.80E-15,1.96E-15,1.90E-15,1.72E-15,9.16E-16,0.724152,10.3024,18.1271,34.2827,48.7031,55.6965,-3.59E-06,6.59E-08,6.63E-08,1.56E-07,2.80E-07,3.28E-07,2.43E-15,1.81E-15,1.92E-15,1.76E-15,1.54E-15,8.20E-16,5.34204,11.2538,13.3435,15.4196,16.4373,18.444,-3.61E-06,6.52E-08,6.63E-08,1.56E-07,2.80E-07,3.31E-07,337.803,346.388,356.155,383.286,428.357,519.064,337.885,346.433,356.043,382.813,427.836,518.806,1.75E-15,5.78307,6.42E-08,342.501,1.78E-15,9.6264,6.30E-08,342.591,1.80E-15,44.0778,2.34E-07,1.62E-15,16.1552,2.34E-07,55.1354,74.1968,51.8909,74.3476,47.197,75.2545,43.9681,76.2136,54.1918,74.7777,48.1254,76.8291,42.3268,79.3907,38.9695,81.3073
4700,2.34E-15,1.80E-15,1.96E-15,1.90E-15,1.72E-15,9.15E-16,0.724151,10.3024,18.1271,34.2827,48.7043,55.9175,-3.59E-06,6.59E-08,6.63E-08,1.56E-07,2.80E-07,3.27E-07,2.43E-15,1.81E-15,1.92E-15,1.76E-15,1.54E-15,8.18E-16,5.3379,11.2603,13.3435,15.4197,16.4373,18.4048,-3.61E-06,6.53E-08,6.63E-08,1.56E-07,2.80E-07,3.31E-07,337.807,346.385,356.154,383.288,428.371,519.094,337.888,346.429,356.044,382.824,427.861,518.85,1.75E-15,5.78303,6.42E-08,342.502,1.78E-15,9.62178,6.30E-08,342.59,1.80E-15,44.0782,2.34E-07,1.62E-15,16.1552,2.34E-07,55.1354,74.1968,51.8909,74.3476,47.1971,75.2544,43.9685,76.2133,54.1918,74.7777,48.1254,76.8291,42.3268,79.3907,38.9695,81.3073
4800,2.34E-15,1.80E-15,1.96E-15,1.90E-15,1.72E-15,9.13E-16,0.724151,10.3025,18.1271,34.2827,48.7054,56.1279,-3.59E-06,6.60E-08,6.63E-08,1.56E-07,2.80E-07,3.27E-07,2.43E-15,1.81E-15,1.92E-15,1.76E-15,1.54E-15,8.15E-16,5.33408,11.2665,13.3435,15.4197,16.4373,18.3647,-3.61E-06,6.53E-08,6.63E-08,1.56E-07,2.80E-07,3.30E-07,337.81,346.381,356.153,383.29,428.384,519.123,337.892,346.426,356.045,382.834,427.886,518.892,1.75E-15,5.78299,6.42E-08,342.502,1.78E-15,9.61737,6.30E-08,342.589,1.80E-15,44.0785,2.34E-07,1.62E-15,16.1552,2.34E-07,55.1354,74.1968,51.8909,74.3476,47.1972,75.2543,43.9688,76.2131,54.1918,74.7777,48.1255,76.8291,42.3268,79.3907,38.9695,81.3072
4900,2.34E-15,1.80E-15,1.96E-15,1.90E-15,1.72E-15,9.11E-16,0.724151,10.3025,18.1271,34.2827,48.7063,56.3281,-3.59E-06,6.60E-08,6.63E-08,1.56E-07,2.80E-07,3.26E-07,2.43E-15,1.81E-15,1.92E-15,1.76E-15,1.54E-15,8.13E-16,5.33056,11.2726,13.3435,15.4197,16.4373,18.3238,-3.61E-06,6.54E-08,6.63E-08,1.56E-07,2.80E-07,3.29E-07,337.814,346.378,356.152,383.291,428.396,519.151,337.895,346.422,356.047,382.844,427.91,518.932,1.75E-15,5.78295,6.42E-08,342.502,1.78E-15,9.61315,6.30E-08,342.588,1.80E-15,44.0788,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1355,74.1968,51.8909,74.3476,47.1973,75.2542,43.9691,76.2128,54.1918,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3072
5000,2.33E-15,1.80E-15,1.96E-15,1.90E-15,1.72E-15,9.10E-16,0.72415,10.3026,18.1271,34.2827,48.707,56.5185,-3.59E-06,6.60E-08,6.63E-08,1.56E-07,2.80E-07,3.26E-07,2.43E-15,1.81E-15,1.92E-15,1.76E-15,1.54E-15,8.11E-16,5.32732,11.2784,13.3435,15.4197,16.4373,18.2823,-3.61E-06,6.54E-08,6.63E-08,1.56E-07,2.80E-07,3.29E-07,337.817,346.375,356.151,383.293,428.408,519.178,337.897,346.419,356.048,382.854,427.933,518.97,1.75E-15,5.78292,6.42E-08,342.502,1.78E-15,9.60911,6.30E-08,342.588,1.80E-15,44.079,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1355,74.1968,51.8909,74.3476,47.1974,75.2541,43.9693,76.2127,54.1918,74.7778,48.1255,76.8291,42.3268,79.3907,38.9696,81.3072
5100,2.33E-15,1.80E-15,1.96E-15,1.90E-15,1.72E-15,9.08E-16,0.72415,10.3026,18.1271,34.2827,48.7076,56.6996,-3.59E-06,6.61E-08,6.63E-08,1.56E-07,2.80E-07,3.26E-07,2.43E-15,1.81E-15,1.92E-15,1.76E-15,1.54E-15,8.09E-16,5.32432,11.284,13.3435,15.4197,16.4374,18.2403,-3.61E-06,6.55E-08,6.63E-08,1.56E-07,2.80E-07,3.28E-07,337.82,346.372,356.15,383.294,428.42,519.203,337.9,346.415,356.049,382.863,427.956,519.007,1.75E-15,5.78288,6.42E-08,342.502,1.78E-15,9.60525,6.30E-08,342.587,1.80E-15,44.0792,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8909,74.3476,47.1975,75.2541,43.9695,76.2125,54.1918,74.7778,48.1255,76.8291,42.3268,79.3907,38.9696,81.3072
5200,2.33E-15,1.81E-15,1.96E-15,1.90E-15,1.72E-15,9.07E-16,0.72415,10.3027,18.1271,34.2827,48.7082,56.8719,-3.59E-06,6.61E-08,6.63E-08,1.56E-07,2.80E-07,3.25E-07,2.43E-15,1.81E-15,1.92E-15,1.76E-15,1.54E-15,8.07E-16,5.32155,11.2894,13.3435,15.4197,16.4374,18.198,-3.61E-06,6.55E-08,6.63E-08,1.56E-07,2.80E-07,3.28E-07,337.822,346.369,356.15,383.296,428.431,519.227,337.902,346.412,356.05,382.872,427.979,519.042,1.75E-15,5.78285,6.42E-08,342.502,1.78E-15,9.60156,6.30E-08,342.586,1.80E-15,44.0793,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8909,74.3476,47.1975,75.254,43.9697,76.2124,54.1919,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3072
5300,2.33E-15,1.81E-15,1.96E-15,1.90E-15,1.72E-15,9.05E-16,0.724149,10.3027,18.1271,34.2827,48.7086,57.0356,-3.59E-06,6.62E-08,6.63E-08,1.56E-07,2.80E-07,3.25E-07,2.43E-15,1.81E-15,1.92E-15,1.76E-15,1.54E-15,8.05E-16,5.319,11.2946,13.3435,15.4197,16.4374,18.1554,-3.61E-06,6.56E-08,6.63E-08,1.56E-07,2.80E-07,3.27E-07,337.825,346.366,356.149,383.297,428.442,519.25,337.904,346.408,356.051,382.881,428,519.075,1.75E-15,5.78282,6.42E-08,342.502,1.79E-15,9.59803,6.31E-08,342.585,1.80E-15,44.0794,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8909,74.3476,47.1976,75.254,43.9699,76.2123,54.1919,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3072
5400,2.33E-15,1.81E-15,1.96E-15,1.90E-15,1.72E-15,9.04E-16,0.724149,10.3028,18.1271,34.2827,48.709,57.1912,-3.59E-06,6.62E-08,6.63E-08,1.56E-07,2.80E-07,3.25E-07,2.43E-15,1.82E-15,1.92E-15,1.76E-15,1.54E-15,8.03E-16,5.31664,11.2997,13.3435,15.4197,16.4374,18.1128,-3.61E-06,6.56E-08,6.63E-08,1.56E-07,2.80E-07,3.27E-07,337.827,346.363,356.148,383.298,428.452,519.272,337.906,346.405,356.052,382.89,428.022,519.107,1.75E-15,5.78279,6.42E-08,342.502,1.79E-15,9.59466,6.31E-08,342.584,1.80E-15,44.0795,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8909,74.3476,47.1976,75.2539,43.97,76.2122,54.1919,74.7777,48.1254,76.8291,42.3268,79.3907,38.9695,81.3072
5500,2.33E-15,1.81E-15,1.96E-15,1.90E-15,1.72E-15,9.03E-16,0.724149,10.3028,18.1271,34.2827,48.7093,57.3391,-3.59E-06,6.63E-08,6.63E-08,1.56E-07,2.80E-07,3.24E-07,2.43E-15,1.82E-15,1.92E-15,1.76E-15,1.54E-15,8.01E-16,5.31447,11.3046,13.3435,15.4197,16.4374,18.0701,-3.61E-06,6.57E-08,6.63E-08,1.56E-07,2.80E-07,3.26E-07,337.83,346.361,356.147,383.299,428.462,519.293,337.908,346.402,356.053,382.899,428.042,519.138,1.75E-15,5.78276,6.42E-08,342.502,1.79E-15,9.59144,6.31E-08,342.583,1.80E-15,44.0796,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3476,47.1976,75.2539,43.97,76.2121,54.1919,74.7777,48.1255,76.8291,42.3268,79.3907,38.9695,81.3072
5600,2.33E-15,1.81E-15,1.96E-15,1.90E-15,1.72E-15,9.01E-16,0.724149,10.3028,18.1271,34.2827,48.7096,57.4796,-3.59E-06,6.63E-08,6.63E-08,1.56E-07,2.80E-07,3.24E-07,2.43E-15,1.82E-15,1.92E-15,1.76E-15,1.54E-15,8.00E-16,5.31245,11.3093,13.3435,15.4197,16.4374,18.0276,-3.61E-06,6.57E-08,6.63E-08,1.56E-07,2.80E-07,3.26E-07,337.832,346.358,356.146,383.3,428.472,519.313,337.91,346.398,356.053,382.907,428.062,519.167,1.75E-15,5.78273,6.42E-08,342.501,1.79E-15,9.58835,6.31E-08,342.582,1.80E-15,44.0797,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3476,47.1976,75.2539,43.9701,76.212,54.1919,74.7777,48.1255,76.8291,42.3268,79.3907,38.9695,81.3072
5700,2.33E-15,1.81E-15,1.96E-15,1.90E-15,1.72E-15,9.00E-16,0.724148,10.3029,18.1271,34.2827,48.7098,57.613,-3.59E-06,6.63E-08,6.63E-08,1.56E-07,2.80E-07,3.24E-07,2.43E-15,1.82E-15,1.92E-15,1.76E-15,1.54E-15,7.98E-16,5.31058,11.3138,13.3435,15.4197,16.4374,17.9853,-3.61E-06,6.58E-08,6.63E-08,1.56E-07,2.80E-07,3.26E-07,337.834,346.355,356.146,383.302,428.481,519.332,337.911,346.395,356.054,382.915,428.082,519.194,1.75E-15,5.7827,6.42E-08,342.501,1.79E-15,9.5854,6.31E-08,342.581,1.80E-15,44.0797,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3476,47.1976,75.2539,43.9702,76.212,54.1919,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3072
